accession,fsp,species,modifier,complex
GCA_000149955.2,lycopersici,Fusarium oxysporum,4287,FOSC
GCA_000182925.2,NA,Neurospora crassa,OR74A,External
GCA_000222805.1,conglutinans,Fusarium oxysporum,Fo5176,FOSC
GCA_000240135.3,NA,Fusarium graminearum,PH-1 NRRL 31084,FSAMSC
GCA_000259975.2,lycopersici,Fusarium oxysporum,MN25,FOSC
GCA_000260175.2,vasinfectum,Fusarium oxysporum,25433,FOSC
GCA_000260195.1,NA,Fusarium odoratissimum,NRRL 54006,FOSC
GCA_000260215.2,conglutinans,Fusarium oxysporum,54008,FOSC
GCA_000260495.2,melonis,Fusarium oxysporum,26406,FOSC
GCA_000303195.2,NA,Fusarium pseudograminearum,CS3096,FSAMSC
GCA_001519035.1,conglutinans,Fusarium oxysporum,1,FOSC
GCA_001702495.1,cucumerinum,Fusarium oxysporum,Foc013,FOSC
GCA_001702505.1,niveum,Fusarium oxysporum,Fon005,FOSC
GCA_001702515.1,cucumerinum,Fusarium oxysporum,Foc001,FOSC
GCA_001702545.1,cucumerinum,Fusarium oxysporum,Foc018,FOSC
GCA_001702555.1,cucumerinum,Fusarium oxysporum,Foc021,FOSC
GCA_001702575.1,cucumerinum,Fusarium oxysporum,Foc015,FOSC
GCA_001702615.1,cucumerinum,Fusarium oxysporum,Foc030,FOSC
GCA_001702635.1,cucumerinum,Fusarium oxysporum,Foc037,FOSC
GCA_001702655.1,cucumerinum,Fusarium oxysporum,Foc035,FOSC
GCA_001702715.1,niveum,Fusarium oxysporum,Fon019,FOSC
GCA_001702745.1,niveum,Fusarium oxysporum,Fon002,FOSC
GCA_001702775.1,niveum,Fusarium oxysporum,Fon013,FOSC
GCA_001702785.1,niveum,Fusarium oxysporum,Fon010,FOSC
GCA_001702795.1,niveum,Fusarium oxysporum,Fon015,FOSC
GCA_001702805.1,niveum,Fusarium oxysporum,Fon020,FOSC
GCA_001702845.1,niveum,Fusarium oxysporum,Fon037,FOSC
GCA_001702865.1,niveum,Fusarium oxysporum,Fon021,FOSC
GCA_001702875.1,lycopersici,Fusarium oxysporum,Fol004,FOSC
GCA_001702905.1,lycopersici,Fusarium oxysporum,Fol007,FOSC
GCA_001702935.1,lycopersici,Fusarium oxysporum,Fol026,FOSC
GCA_001702945.1,lycopersici,Fusarium oxysporum,Fol014,FOSC
GCA_001702955.1,lycopersici,Fusarium oxysporum,Fol018,FOSC
GCA_001702995.1,lycopersici,Fusarium oxysporum,Fol016,FOSC
GCA_001703015.1,lycopersici,Fusarium oxysporum,Fol038,FOSC
GCA_001703025.1,lycopersici,Fusarium oxysporum,Fol029,FOSC
GCA_001703035.1,lycopersici,Fusarium oxysporum,Fol069,FOSC
GCA_001703065.1,lycopersici,Fusarium oxysporum,Fol072,FOSC
GCA_001703085.1,lycopersici,Fusarium oxysporum,Fol073,FOSC
GCA_001703105.1,lycopersici,Fusarium oxysporum,Fol074,FOSC
GCA_001703135.1,lycopersici,Fusarium oxysporum,Fol075,FOSC
GCA_001703205.2,melonis,Fusarium oxysporum,Fom005,FOSC
GCA_001703215.1,melonis,Fusarium oxysporum,Fom004,FOSC
GCA_001703255.1,melonis,Fusarium oxysporum,Fom006,FOSC
GCA_001703265.1,melonis,Fusarium oxysporum,Fom009,FOSC
GCA_001703295.1,melonis,Fusarium oxysporum,Fom011,FOSC
GCA_001703305.1,melonis,Fusarium oxysporum,Fom010,FOSC
GCA_001703335.1,melonis,Fusarium oxysporum,Fom013,FOSC
GCA_001703345.1,melonis,Fusarium oxysporum,Fom012,FOSC
GCA_001703355.1,lycopersici,Fusarium oxysporum,Fol002,FOSC
GCA_001703365.1,melonis,Fusarium oxysporum,Fom016,FOSC
GCA_001703455.1,cucumerinum,Fusarium oxysporum,Foc011,FOSC
GCA_002233955.1,physali,Fusarium oxysporum,KOD888,FOSC
GCA_002233985.1,physali,Fusarium oxysporum,KOD887,FOSC
GCA_002233995.1,physali,Fusarium oxysporum,KOD886,FOSC
GCA_002711385.1,conglutinans,Fusarium oxysporum,58385,FOSC
GCA_003316985.1,NA,Fusarium coffeatum,FIESC_28,FIESC
GCA_003977725.1,lycopersici,Fusarium oxysporum,race 3 D11,FOSC
GCA_009602505.1,vasinfectum,Fusarium oxysporum,TF1,FOSC
GCA_009602545.1,vasinfectum,Fusarium oxysporum,LA3B,FOSC
GCA_009602615.1,vasinfectum,Fusarium oxysporum,LA1E,FOSC
GCA_009602625.1,vasinfectum,Fusarium oxysporum,14-004,FOSC
GCA_009602635.1,vasinfectum,Fusarium oxysporum,89-1A,FOSC
GCA_011034095.1,NA,Fusarium cf. aywerte,EtdFoc-240,FCSC
GCA_012026625.1,lini,Fusarium oxysporum,39,FOSC
GCA_012610785.1,vasinfectum,Fusarium oxysporum,NRRL 25432,FOSC
GCA_012610815.1,vasinfectum,Fusarium oxysporum,NRRL 31665,FOSC
GCA_012610825.1,vasinfectum,Fusarium oxysporum,NRRL 25434,FOSC
GCA_012610835.1,vasinfectum,Fusarium oxysporum,NRRL 25420,FOSC
GCA_013085055.1,NA,Fusarium oxysporum,Fo47,FOSC
GCA_013186375.1,NA,Fusarium aywerte,NRRL 25410,FASC
GCA_013347345.1,spinaciae,Fusarium oxysporum,Fus254,FOSC
GCA_013347355.1,spinaciae,Fusarium oxysporum,Fus187,FOSC
GCA_013347365.1,spinaciae,Fusarium oxysporum,Fus191,FOSC
GCA_013347375.1,spinaciae,Fusarium oxysporum,Fus259,FOSC
GCA_013347385.1,spinaciae,Fusarium oxysporum,Fus250,FOSC
GCA_013347495.1,spinaciae,Fusarium oxysporum,Fus173,FOSC
GCA_013347505.1,spinaciae,Fusarium oxysporum,Fus322,FOSC
GCA_013347515.1,spinaciae,Fusarium oxysporum,Fus057,FOSC
GCA_013347525.1,spinaciae,Fusarium oxysporum,Fus059,FOSC
GCA_013347535.1,spinaciae,Fusarium oxysporum,Fus167,FOSC
GCA_013347595.1,spinaciae,Fusarium oxysporum,Fus017,FOSC
GCA_013347635.1,spinaciae,Fusarium oxysporum,Fus001,FOSC
GCA_013423225.1,lini,Fusarium oxysporum,F329,FOSC
GCA_013423235.1,lini,Fusarium oxysporum,F324,FOSC
GCA_013423245.1,lini,Fusarium oxysporum,39,FOSC
GCA_013423255.1,lini,Fusarium oxysporum,F287,FOSC
GCA_013423265.1,lini,Fusarium oxysporum,F282,FOSC
GCA_013618295.1,NA,Fusarium armeniacum,NRRL 25141,FSAMSC
GCA_013623845.1,NA,Fusarium foetens,NRRL 38302,FOSC
GCA_014154955.1,conglutinans,Fusarium oxysporum,Fo5176,FOSC
GCA_014602775.1,niveum,Fusarium oxysporum,R2,FOSC
GCA_014602795.1,niveum,Fusarium oxysporum,R3,FOSC
GCA_014602815.1,niveum,Fusarium oxysporum,R1,FOSC
GCA_014898915.1,NA,Fusarium chlamydosporum,NRRL 13444,FCSC
