GCA_037954315.1,Neonectria punicea NRRL 64653,External
GCA_000240135.3,Fusarium graminearum PH-1 NRRL 31084,FSAMSC
GCA_000260195.1,Fusarium odoratissimum NRRL 54006,FOSC
GCA_000303195.2,Fusarium pseudograminearum CS3096,FSAMSC
GCA_003316985.1,Fusarium coffeatum FIESC_28,FIESC
GCA_011034095.1,Fusarium cf. aywerte EtdFoc-240,FCSC
GCA_013085055.1,Fusarium oxysporum Fo47,FOSC
GCA_013186375.1,Fusarium aywerte NRRL 25410,FASC
GCA_013618295.1,Fusarium armeniacum NRRL 25141,FSAMSC
GCA_013623845.1,Fusarium foetens NRRL 38302,FOSC
GCA_014898915.1,Fusarium chlamydosporum NRRL 13444,FCSC
GCA_014898925.1,Fusarium nelsonii NRRL 13338,FCSC
GCA_014898975.1,Fusarium nodosum NRRL 36351,FSAMSC
GCA_014898995.1,Fusarium sibiricum NRRL 53430,FSAMSC
GCA_016165945.1,Fusarium oxysporum f. sp. mori GL1804,FOSC
GCA_016952355.1,Fusarium culmorum Class2-1B,FSAMSC
GCA_017656985.1,Fusarium boothii CBS 316.73,FSAMSC
GCA_017657105.1,Fusarium acaciae mearnsii CBS 110255,FSAMSC
GCA_018104275.1,Fusarium langsethiae Fe2391,FSAMSC
GCA_018886245.1,Fusarium brachygibbosum HN-1,FSAMSC
GCA_019054645.1,Fusarium sporotrichioides S17/16,FSAMSC
GCA_019055205.1,Fusarium cerealis S18/34,FSAMSC
GCA_019609905.1,Fusarium poae DAOMC 252244,FSAMSC
GCA_020744135.1,Fusarium venenatum MPI-CAGE-CH-0201,FSAMSC
GCA_020744385.1,Fusarium flagelliforme FIESC 12,FIESC
GCA_025258505.1,Fusarium asiaticum KCTC 16664,FSAMSC
GCA_040822135.1,Fusarium purpurascens C058,FOSC
GCA_040822145.1,Fusarium tardichlamydosporum C135,FOSC
GCA_040822225.1,Fusarium phialophorum CR1.1,FOSC
GCA_041380375.1,Fusarium veterinarium cuttings,FOSC
GCA_044647245.1,Fusarium inflexum JTHABCO3.1,FOSC
GCA_047716405.1,Fusarium chlamydosporum IraGTOF6,FCSC
IraGTOF11,Fusarium oxysporum IraGTOF11,FOSC
