Metrics	dataset
number_of_reads	25211246
number_of_bases	3781686900.0
median_read_length	150.0
mean_read_length	150.0
read_length_stdev	0.0
n50	150.0
mean_qual	26.1
median_qual	30.5
longest_read_(with_Q):1	150 (22.2)
longest_read_(with_Q):2	150 (33.7)
longest_read_(with_Q):3	150 (29.0)
longest_read_(with_Q):4	150 (33.6)
longest_read_(with_Q):5	150 (33.7)
highest_Q_read_(with_length):1	34.0 (150)
highest_Q_read_(with_length):2	34.0 (150)
highest_Q_read_(with_length):3	34.0 (150)
highest_Q_read_(with_length):4	34.0 (150)
highest_Q_read_(with_length):5	34.0 (150)
Reads >Q10:	25211244 (100.0%) 3781.7Mb
Reads >Q15:	25207156 (100.0%) 3781.1Mb
Reads >Q20:	24489387 (97.1%) 3673.4Mb
Reads >Q25:	20758818 (82.3%) 3113.8Mb
Reads >Q30:	13223901 (52.5%) 1983.6Mb
