Metrics	dataset
number_of_reads	15556
number_of_bases	28860128.0
median_read_length	1283.5
mean_read_length	1855.2
read_length_stdev	5925.4
n50	3083.0
mean_qual	8.4
median_qual	10.1
longest_read_(with_Q):1	489037 (4.2)
longest_read_(with_Q):2	274805 (5.2)
longest_read_(with_Q):3	274049 (3.7)
longest_read_(with_Q):4	199466 (6.0)
longest_read_(with_Q):5	118003 (5.1)
highest_Q_read_(with_length):1	19.6 (182)
highest_Q_read_(with_length):2	16.9 (938)
highest_Q_read_(with_length):3	16.7 (2715)
highest_Q_read_(with_length):4	16.7 (1047)
highest_Q_read_(with_length):5	16.6 (2760)
Reads >Q10:	8185 (52.6%) 17.0Mb
Reads >Q15:	44 (0.3%) 0.1Mb
Reads >Q20:	0 (0.0%) 0.0Mb
Reads >Q25:	0 (0.0%) 0.0Mb
Reads >Q30:	0 (0.0%) 0.0Mb
