Metrics	dataset
number_of_reads	25205894
number_of_bases	3767479097.0
median_read_length	150.0
mean_read_length	149.5
read_length_stdev	1.6
n50	150.0
mean_qual	26.2
median_qual	30.5
longest_read_(with_Q):1	150 (22.2)
longest_read_(with_Q):2	150 (27.7)
longest_read_(with_Q):3	150 (33.3)
longest_read_(with_Q):4	150 (28.9)
longest_read_(with_Q):5	150 (27.6)
highest_Q_read_(with_length):1	34.0 (149)
highest_Q_read_(with_length):2	34.0 (147)
highest_Q_read_(with_length):3	34.0 (150)
highest_Q_read_(with_length):4	34.0 (149)
highest_Q_read_(with_length):5	34.0 (150)
Reads >Q10:	25205893 (100.0%) 3767.5Mb
Reads >Q15:	25202238 (100.0%) 3766.9Mb
Reads >Q20:	24496939 (97.2%) 3661.8Mb
Reads >Q25:	20791928 (82.5%) 3108.2Mb
Reads >Q30:	13352378 (53.0%) 1996.1Mb
