qname	qlen	qstart	qend	strand	tname	tlen	tstart	tend	nmatch	alen	mapq
scaffold_747	2622	674	1489	-	CP052038.1	6487135	11638	12463	249	825	60
scaffold_10	1239786	645477	649597	+	CP052038.1	6487135	20596	24705	1596	4120	60
scaffold_66	184824	157630	158652	-	CP052038.1	6487135	32347	33368	660	1022	60
scaffold_21	738175	56235	122457	+	CP052038.1	6487135	35977	106090	38204	74933	60
scaffold_35	440808	258659	259633	-	CP052038.1	6487135	80242	81074	174	974	60
scaffold_315	18631	6918	7823	+	CP052038.1	6487135	80242	81074	122	914	60
scaffold_175	46490	34123	34912	-	CP052038.1	6487135	81593	82353	174	789	60
scaffold_21	738175	145471	174068	+	CP052038.1	6487135	111129	140128	15837	29089	60
scaffold_112	88048	80743	80968	+	CP052038.1	6487135	113736	113961	119	225	60
scaffold_21	738175	177870	214637	+	CP052038.1	6487135	146138	182972	26045	36927	60
scaffold_21	738175	225830	227493	+	CP052038.1	6487135	183914	185577	726	1663	60
scaffold_194	39750	33038	33837	-	CP052038.1	6487135	212604	213408	98	804	60
scaffold_21	738175	227588	227930	+	CP052038.1	6487135	223064	223406	166	342	60
scaffold_21	738175	229228	272149	+	CP052038.1	6487135	225995	268434	30255	43018	60
scaffold_21	738175	274944	343533	+	CP052038.1	6487135	274758	347379	38358	72973	60
scaffold_312	19256	6548	7647	-	CP052038.1	6487135	303130	304191	122	1099	60
scaffold_21	738175	348620	384365	+	CP052038.1	6487135	350422	387947	17819	37637	60
scaffold_1447	578	10	578	+	CP052038.1	6487135	372496	373064	557	568	60
scaffold_21	738175	386492	528850	+	CP052038.1	6487135	388310	516400	78178	143280	60
scaffold_1116	806	16	796	+	CP052038.1	6487135	396866	397646	680	780	60
scaffold_91	120630	24726	26199	-	CP052038.1	6487135	507933	509405	489	1473	60
scaffold_21	738175	537204	538844	+	CP052038.1	6487135	521916	523540	618	1640	60
scaffold_21	738175	540342	553699	+	CP052038.1	6487135	534434	547968	3905	13739	60
scaffold_21	738175	555650	563903	-	CP052038.1	6487135	552702	560999	586	8326	60
scaffold_21	738175	571834	584309	+	CP052038.1	6487135	563492	575912	8740	12482	60
scaffold_17	792558	748797	792378	-	CP052038.1	6487135	575933	616802	28468	43803	60
scaffold_17	792558	746082	747772	+	CP052038.1	6487135	618786	620479	104	1702	60
scaffold_17	792558	707273	744002	-	CP052038.1	6487135	621809	658399	24803	37004	60
scaffold_1707	502	4	495	-	CP052038.1	6487135	625134	625625	463	491	60
scaffold_17	792558	523694	699632	-	CP052038.1	6487135	666097	834518	126830	176239	60
scaffold_17	792558	434013	518429	-	CP052038.1	6487135	837867	919048	59887	86246	60
scaffold_17	792558	100864	429319	-	CP052038.1	6487135	921107	1250944	272014	330563	60
scaffold_17	792558	128	88545	-	CP052038.1	6487135	1265864	1354248	76146	88494	60
scaffold_23	662106	132	661981	+	CP052038.1	6487135	1354259	2014140	559252	664058	60
scaffold_1190	732	8	638	-	CP052038.1	6487135	1606792	1607440	101	651	60
scaffold_7	1660457	129	1660325	+	CP052038.1	6487135	2014145	3675384	1442228	1666107	60
scaffold_4	1881388	531174	531310	-	CP052038.1	6487135	3550804	3550948	102	144	60
scaffold_5	1863748	16906	17042	-	CP052038.1	6487135	3550804	3550948	102	144	60
scaffold_5	1863748	362051	362187	+	CP052038.1	6487135	3550804	3550948	102	144	60
scaffold_19	781025	127	45803	+	CP052038.1	6487135	3675395	3720554	36743	45746	60
scaffold_19	781025	51573	780943	+	CP052038.1	6487135	3729206	4460474	631160	733289	60
scaffold_39	398046	15	114779	+	CP052038.1	6487135	4601799	4716628	101935	114937	60
scaffold_1573	531	16	530	+	CP052038.1	6487135	4720370	4720911	353	541	60
scaffold_1059	878	232	864	+	CP052038.1	6487135	4722704	4723336	416	632	60
scaffold_921	1278	527	780	+	CP052038.1	6487135	4748940	4749192	129	253	60
scaffold_104	98169	54887	55117	-	CP052038.1	6487135	4750053	4750289	156	236	60
scaffold_1318	646	4	583	-	CP052038.1	6487135	4754239	4754818	465	579	60
scaffold_39	398046	155763	319993	+	CP052038.1	6487135	4761504	4927687	139371	166678	60
scaffold_111	88385	6777	8272	-	CP052038.1	6487135	4832546	4834047	275	1503	60
scaffold_39	398046	325401	397674	+	CP052038.1	6487135	4934955	5007200	62192	72363	60
scaffold_228	31656	132	31527	+	CP052038.1	6487135	5007220	5038729	27816	31641	60
scaffold_127	79228	29	79098	-	CP052038.1	6487135	5038738	5117878	66487	79269	60
scaffold_1	2692756	453752	1378948	-	CP052038.1	6487135	5117575	6049778	707769	940899	60
scaffold_88	125722	85580	86423	+	CP052038.1	6487135	5429748	5430592	248	844	60
scaffold_1372	620	4	620	+	CP052038.1	6487135	5917642	5918258	532	616	60
scaffold_1	2692756	392410	448154	-	CP052038.1	6487135	6051847	6107600	36466	55850	60
scaffold_1	2692756	391752	392096	-	CP052038.1	6487135	6115226	6115570	179	344	60
scaffold_1	2692756	357641	388259	-	CP052038.1	6487135	6140946	6171543	21583	30676	60
scaffold_1	2692756	337974	353698	-	CP052038.1	6487135	6173651	6189447	10827	15805	60
scaffold_1	2692756	332110	337262	-	CP052038.1	6487135	6200541	6205668	3473	5154	60
scaffold_1	2692756	328422	328938	-	CP052038.1	6487135	6206237	6206761	159	524	60
scaffold_21	738175	50790	52406	+	CP052038.1	6487135	6209422	6211038	484	1617	60
scaffold_35	440808	244504	245647	-	CP052038.1	6487135	6213888	6215040	269	1175	60
scaffold_12	1155968	738867	739566	+	CP052038.1	6487135	6214068	6214759	130	701	60
scaffold_1	2692756	316553	321046	-	CP052038.1	6487135	6215620	6220113	2352	4495	60
scaffold_1430	590	20	586	+	CP052038.1	6487135	6220263	6220827	467	566	60
scaffold_1	2692756	312701	313901	-	CP052038.1	6487135	6220403	6221595	153	1202	60
scaffold_1	2692756	289521	308041	-	CP052038.1	6487135	6221651	6243202	11479	21633	60
scaffold_1	2692756	249213	252143	-	CP052038.1	6487135	6249207	6252133	1650	2931	60
scaffold_1	2692756	239559	248256	-	CP052038.1	6487135	6263076	6272067	5139	9018	60
scaffold_1	2692756	140880	200316	-	CP052038.1	6487135	6273242	6325270	33482	59620	60
scaffold_1365	622	18	600	+	CP052038.1	6487135	6341546	6342128	365	582	60
scaffold_11	1212133	112483	113002	+	CP052038.1	6487135	6342900	6343521	98	621	60
scaffold_1	2692756	140440	140772	-	CP052038.1	6487135	6361304	6361636	166	332	60
scaffold_1	2692756	123329	139985	-	CP052038.1	6487135	6362711	6379609	10502	17112	60
scaffold_183	43655	1102	1632	+	CP052038.1	6487135	6380640	6381171	132	531	60
scaffold_45	358384	313410	313533	-	CP052038.1	6487135	6381871	6381990	100	123	60
scaffold_131	76605	33575	36126	+	CP052038.1	6487135	6381910	6384557	188	2652	60
scaffold_6	1692318	1548910	1549332	+	CP052038.1	6487135	74026	74432	94	422	59
scaffold_921	1278	941	1165	+	CP052038.1	6487135	4750420	4750645	89	225	59
scaffold_13	1103368	23856	24088	+	CP052038.1	6487135	6389346	6389578	90	232	59
scaffold_31	499125	9496	9610	+	CP052038.1	6487135	5543376	5543487	76	114	57
scaffold_1106	819	158	683	+	CP052038.1	6487135	5652025	5652559	89	534	57
scaffold_6	1692318	297742	297975	-	CP052038.1	6487135	80301	80560	163	259	56
scaffold_75	154281	154069	154205	-	CP052038.1	6487135	3550804	3550948	87	144	56
scaffold_12	1155968	702189	703689	+	CP052038.1	6487135	6213350	6214942	167	1600	56
scaffold_3	2381582	98	234	+	CP052038.1	6487135	3550804	3550948	85	144	54
scaffold_116	84153	83951	84086	-	CP052038.1	6487135	3550804	3550948	82	144	52
scaffold_1048	889	92	765	+	CP052038.1	6487135	1203218	1203899	95	681	51
scaffold_296	20863	6420	9261	-	CP052038.1	6487135	6393612	6396467	792	2884	49
scaffold_45	358384	243377	244346	-	CP052038.1	6487135	74373	75315	207	969	48
scaffold_220	33416	21652	22297	+	CP052038.1	6487135	4750650	4751296	84	646	46
scaffold_28	539988	193209	193304	+	CP052038.1	6487135	6383129	6383224	71	95	44
scaffold_1189	733	37	312	+	CP052038.1	6487135	336971	337246	79	275	43
scaffold_1617	522	100	273	-	CP052038.1	6487135	6214740	6214919	82	179	43
scaffold_21	738175	60711	60860	+	CP052038.1	6487135	6344444	6344593	87	149	43
scaffold_1	2692756	89221	90074	+	CP052038.1	6487135	4749372	4750289	383	933	42
scaffold_50	298037	109689	110045	+	CP052038.1	6487135	7575	7994	109	419	40
scaffold_336	17138	6511	7418	+	CP052038.1	6487135	6214127	6215009	148	921	40
scaffold_40	392173	110356	110759	-	CP052038.1	6487135	6214556	6214994	135	438	39
scaffold_283	22139	691	1518	+	CP052038.1	6487135	4749457	4750258	182	827	37
scaffold_12	1155968	704315	704856	-	CP052038.1	6487135	4722888	4723430	95	542	36
scaffold_1	2692756	119319	119644	+	CP052038.1	6487135	6437164	6437492	73	328	34
scaffold_12	1155968	733540	733639	+	CP052038.1	6487135	3550849	3550948	66	99	33
scaffold_954	1152	831	1086	+	CP052038.1	6487135	4741720	4741975	119	255	33
scaffold_71	175185	108842	113634	-	CP052038.1	6487135	6381885	6386683	153	4858	33
scaffold_1	2692756	37609	38014	+	CP052038.1	6487135	6416155	6416560	66	405	33
scaffold_1085	847	609	768	-	CP052038.1	6487135	7828	7987	110	159	32
